Step , TotalTime , T , P , Ux , Uy , Uz
103920 , 5.19028e-05 , 232.407 , 637.075 , 424.582 , 6.06266 , 0.203473
103940 , 5.19128e-05 , 232.413 , 637.113 , 424.599 , 6.06216 , 0.203388
103960 , 5.19227e-05 , 232.419 , 637.152 , 424.616 , 6.06149 , 0.203295
103980 , 5.19327e-05 , 232.426 , 637.193 , 424.632 , 6.06068 , 0.203196
104000 , 5.19427e-05 , 232.432 , 637.235 , 424.649 , 6.05971 , 0.203091
104020 , 5.19526e-05 , 232.439 , 637.279 , 424.666 , 6.05863 , 0.202983
104040 , 5.19626e-05 , 232.446 , 637.323 , 424.684 , 6.05748 , 0.20287
104060 , 5.19726e-05 , 232.453 , 637.367 , 424.701 , 6.05617 , 0.202752
104080 , 5.19825e-05 , 232.459 , 637.411 , 424.72 , 6.05478 , 0.20263
104100 , 5.19925e-05 , 232.466 , 637.457 , 424.738 , 6.05334 , 0.202506
104120 , 5.20025e-05 , 232.474 , 637.504 , 424.757 , 6.05185 , 0.20238
104140 , 5.20124e-05 , 232.481 , 637.551 , 424.775 , 6.05023 , 0.202248
104160 , 5.20224e-05 , 232.488 , 637.598 , 424.794 , 6.04846 , 0.202111
104180 , 5.20324e-05 , 232.494 , 637.644 , 424.814 , 6.04664 , 0.201972
104200 , 5.20423e-05 , 232.501 , 637.692 , 424.834 , 6.04481 , 0.201831
104220 , 5.20523e-05 , 232.509 , 637.742 , 424.853 , 6.04291 , 0.201688
104240 , 5.20623e-05 , 232.516 , 637.791 , 424.873 , 6.04093 , 0.201542
104260 , 5.20723e-05 , 232.523 , 637.841 , 424.894 , 6.03893 , 0.201394
104280 , 5.20822e-05 , 232.53 , 637.891 , 424.914 , 6.03688 , 0.201245
104300 , 5.20922e-05 , 232.538 , 637.941 , 424.935 , 6.03479 , 0.201093
104320 , 5.21022e-05 , 232.544 , 637.988 , 424.957 , 6.03267 , 0.200941
104340 , 5.21121e-05 , 232.551 , 638.038 , 424.979 , 6.03059 , 0.20079
104360 , 5.21221e-05 , 232.558 , 638.087 , 425.001 , 6.02856 , 0.20064
104380 , 5.21321e-05 , 232.566 , 638.137 , 425.023 , 6.02659 , 0.200493
104400 , 5.2142e-05 , 232.573 , 638.188 , 425.046 , 6.02463 , 0.200345
104420 , 5.2152e-05 , 232.58 , 638.237 , 425.069 , 6.02262 , 0.200196
104440 , 5.2162e-05 , 232.587 , 638.286 , 425.092 , 6.02057 , 0.200045
104460 , 5.21719e-05 , 232.594 , 638.335 , 425.115 , 6.01851 , 0.199893
104480 , 5.21819e-05 , 232.601 , 638.384 , 425.138 , 6.01643 , 0.19974
104500 , 5.21919e-05 , 232.608 , 638.433 , 425.161 , 6.01435 , 0.199588
104520 , 5.22018e-05 , 232.615 , 638.482 , 425.184 , 6.0123 , 0.199435
104540 , 5.22118e-05 , 232.622 , 638.53 , 425.207 , 6.01026 , 0.199284
104560 , 5.22218e-05 , 232.629 , 638.579 , 425.231 , 6.00826 , 0.199134
104580 , 5.22317e-05 , 232.635 , 638.626 , 425.254 , 6.00628 , 0.198984
104600 , 5.22417e-05 , 232.641 , 638.673 , 425.278 , 6.00427 , 0.198833
104620 , 5.22517e-05 , 232.648 , 638.721 , 425.302 , 6.00218 , 0.198679
104640 , 5.22616e-05 , 232.654 , 638.768 , 425.326 , 5.99997 , 0.198519
104660 , 5.22716e-05 , 232.661 , 638.816 , 425.35 , 5.99767 , 0.198357
104680 , 5.22816e-05 , 232.667 , 638.865 , 425.373 , 5.99531 , 0.198191
104700 , 5.22916e-05 , 232.675 , 638.916 , 425.397 , 5.99294 , 0.198025
104720 , 5.23015e-05 , 232.681 , 638.965 , 425.421 , 5.99052 , 0.197857
104740 , 5.23115e-05 , 232.688 , 639.015 , 425.445 , 5.98808 , 0.197688
104760 , 5.23215e-05 , 232.694 , 639.063 , 425.469 , 5.98563 , 0.197518
104780 , 5.23314e-05 , 232.7 , 639.112 , 425.493 , 5.98318 , 0.197348
104800 , 5.23414e-05 , 232.707 , 639.161 , 425.517 , 5.98079 , 0.19718
104820 , 5.23514e-05 , 232.714 , 639.21 , 425.542 , 5.97843 , 0.197014
104840 , 5.23613e-05 , 232.72 , 639.258 , 425.567 , 5.97606 , 0.196846
104860 , 5.23713e-05 , 232.726 , 639.306 , 425.592 , 5.97367 , 0.196679
104880 , 5.23813e-05 , 232.732 , 639.353 , 425.617 , 5.97131 , 0.196512
104900 , 5.23912e-05 , 232.737 , 639.399 , 425.643 , 5.96898 , 0.196345
104920 , 5.24012e-05 , 232.743 , 639.445 , 425.669 , 5.96666 , 0.19618
104940 , 5.24112e-05 , 232.748 , 639.492 , 425.695 , 5.96435 , 0.196014
104960 , 5.24211e-05 , 232.754 , 639.538 , 425.72 , 5.96207 , 0.19585
104980 , 5.24311e-05 , 232.759 , 639.584 , 425.746 , 5.95983 , 0.195687
105000 , 5.24411e-05 , 232.765 , 639.631 , 425.772 , 5.95763 , 0.195525
105020 , 5.2451e-05 , 232.77 , 639.677 , 425.798 , 5.95547 , 0.195365
105040 , 5.2461e-05 , 232.776 , 639.723 , 425.824 , 5.95343 , 0.195209
105060 , 5.2471e-05 , 232.781 , 639.768 , 425.85 , 5.95148 , 0.195057
105080 , 5.24809e-05 , 232.786 , 639.813 , 425.877 , 5.94965 , 0.194909
105100 , 5.24909e-05 , 232.791 , 639.856 , 425.903 , 5.94792 , 0.194766
105120 , 5.25009e-05 , 232.795 , 639.899 , 425.93 , 5.94629 , 0.194626
105140 , 5.25108e-05 , 232.8 , 639.941 , 425.957 , 5.94474 , 0.194489
105160 , 5.25208e-05 , 232.804 , 639.984 , 425.984 , 5.94326 , 0.194355
105180 , 5.25308e-05 , 232.809 , 640.026 , 426.011 , 5.94187 , 0.194224
105200 , 5.25408e-05 , 232.814 , 640.069 , 426.038 , 5.94057 , 0.194097
105220 , 5.25507e-05 , 232.818 , 640.111 , 426.065 , 5.93934 , 0.193972
105240 , 5.25607e-05 , 232.823 , 640.153 , 426.092 , 5.93818 , 0.19385
105260 , 5.25707e-05 , 232.827 , 640.196 , 426.119 , 5.93709 , 0.193731
105280 , 5.25806e-05 , 232.832 , 640.238 , 426.145 , 5.93609 , 0.193616
105300 , 5.25906e-05 , 232.836 , 640.281 , 426.172 , 5.93521 , 0.193505
105320 , 5.26006e-05 , 232.841 , 640.323 , 426.199 , 5.93441 , 0.193397
105340 , 5.26105e-05 , 232.845 , 640.365 , 426.226 , 5.93367 , 0.193291
105360 , 5.26205e-05 , 232.849 , 640.406 , 426.253 , 5.93298 , 0.193188
105380 , 5.26305e-05 , 232.853 , 640.446 , 426.279 , 5.93235 , 0.193087
105400 , 5.26404e-05 , 232.857 , 640.488 , 426.306 , 5.93178 , 0.192988
105420 , 5.26504e-05 , 232.861 , 640.529 , 426.332 , 5.93122 , 0.192889
105440 , 5.26604e-05 , 232.866 , 640.57 , 426.357 , 5.93074 , 0.192794
105460 , 5.26703e-05 , 232.87 , 640.611 , 426.383 , 5.93039 , 0.192704
105480 , 5.26803e-05 , 232.874 , 640.652 , 426.409 , 5.93015 , 0.192619
105500 , 5.26903e-05 , 232.878 , 640.693 , 426.435 , 5.93007 , 0.192539
105520 , 5.27002e-05 , 232.881 , 640.733 , 426.461 , 5.93014 , 0.192466
105540 , 5.27102e-05 , 232.885 , 640.772 , 426.487 , 5.93029 , 0.192396
105560 , 5.27202e-05 , 232.888 , 640.812 , 426.513 , 5.93046 , 0.192327
105580 , 5.27301e-05 , 232.893 , 640.852 , 426.538 , 5.93064 , 0.192258
105600 , 5.27401e-05 , 232.896 , 640.89 , 426.564 , 5.93089 , 0.192192
105620 , 5.27501e-05 , 232.9 , 640.928 , 426.59 , 5.9313 , 0.192133
105640 , 5.276e-05 , 232.903 , 640.966 , 426.615 , 5.93191 , 0.192081
105660 , 5.277e-05 , 232.906 , 641.005 , 426.641 , 5.93269 , 0.192036
105680 , 5.278e-05 , 232.91 , 641.043 , 426.667 , 5.93356 , 0.191995
105700 , 5.279e-05 , 232.913 , 641.08 , 426.692 , 5.93453 , 0.191958
105720 , 5.27999e-05 , 232.916 , 641.116 , 426.718 , 5.9356 , 0.191925
105740 , 5.28099e-05 , 232.919 , 641.153 , 426.744 , 5.93678 , 0.191896
105760 , 5.28199e-05 , 232.922 , 641.19 , 426.769 , 5.93803 , 0.191871
105780 , 5.28298e-05 , 232.926 , 641.228 , 426.794 , 5.93933 , 0.191847
105800 , 5.28398e-05 , 232.929 , 641.266 , 426.818 , 5.94071 , 0.191827
105820 , 5.28498e-05 , 232.932 , 641.301 , 426.844 , 5.94221 , 0.191812
105840 , 5.28597e-05 , 232.935 , 641.335 , 426.87 , 5.94387 , 0.191803
105860 , 5.28697e-05 , 232.938 , 641.37 , 426.895 , 5.9457 , 0.191801
105880 , 5.28797e-05 , 232.941 , 641.405 , 426.92 , 5.94766 , 0.191804
105900 , 5.28896e-05 , 232.944 , 641.439 , 426.944 , 5.94976 , 0.191813
105920 , 5.28996e-05 , 232.946 , 641.472 , 426.968 , 5.95203 , 0.191829
105940 , 5.29096e-05 , 232.949 , 641.506 , 426.993 , 5.95442 , 0.19185
105960 , 5.29195e-05 , 232.952 , 641.541 , 427.016 , 5.95691 , 0.191875
105980 , 5.29295e-05 , 232.955 , 641.575 , 427.039 , 5.95945 , 0.191903
106000 , 5.29395e-05 , 232.958 , 641.609 , 427.062 , 5.96206 , 0.191933
106020 , 5.29494e-05 , 232.961 , 641.643 , 427.085 , 5.96475 , 0.191967
106040 , 5.29594e-05 , 232.964 , 641.678 , 427.108 , 5.96753 , 0.192005
106060 , 5.29694e-05 , 232.967 , 641.711 , 427.131 , 5.9704 , 0.192046
106080 , 5.29793e-05 , 232.969 , 641.744 , 427.154 , 5.97333 , 0.19209
106100 , 5.29893e-05 , 232.971 , 641.777 , 427.176 , 5.97631 , 0.192136
106120 , 5.29993e-05 , 232.974 , 641.811 , 427.198 , 5.97933 , 0.192184
106140 , 5.30093e-05 , 232.977 , 641.845 , 427.22 , 5.98241 , 0.192235
106160 , 5.30192e-05 , 232.98 , 641.879 , 427.241 , 5.98559 , 0.19229
