Step , TotalTime , T , P , Ux , Uy , Uz
2440 , 1.21949e-06 , 232.358 , 645.893 , 430.801 , 5.64091 , 0.185533
2460 , 1.22949e-06 , 232.355 , 645.892 , 430.811 , 5.68562 , 0.187235
2480 , 1.23949e-06 , 232.352 , 645.897 , 430.821 , 5.72941 , 0.188902
2500 , 1.24949e-06 , 232.351 , 645.906 , 430.831 , 5.77213 , 0.190527
2520 , 1.25949e-06 , 232.35 , 645.922 , 430.84 , 5.81359 , 0.192103
2540 , 1.26949e-06 , 232.351 , 645.943 , 430.85 , 5.85364 , 0.193625
2560 , 1.27949e-06 , 232.352 , 645.971 , 430.859 , 5.8921 , 0.195085
2580 , 1.28949e-06 , 232.354 , 646.005 , 430.869 , 5.92883 , 0.196476
2600 , 1.29949e-06 , 232.357 , 646.045 , 430.879 , 5.96372 , 0.197796
2620 , 1.30949e-06 , 232.361 , 646.092 , 430.889 , 5.99663 , 0.199039
2640 , 1.31949e-06 , 232.366 , 646.146 , 430.899 , 6.02745 , 0.2002
2660 , 1.32949e-06 , 232.372 , 646.207 , 430.91 , 6.05611 , 0.201276
2680 , 1.33949e-06 , 232.379 , 646.274 , 430.921 , 6.08253 , 0.202263
2700 , 1.34949e-06 , 232.386 , 646.349 , 430.932 , 6.10667 , 0.203162
2720 , 1.35949e-06 , 232.395 , 646.43 , 430.943 , 6.12855 , 0.203972
2740 , 1.36949e-06 , 232.404 , 646.517 , 430.956 , 6.14818 , 0.204693
2760 , 1.37949e-06 , 232.413 , 646.61 , 430.969 , 6.16556 , 0.205327
2780 , 1.38949e-06 , 232.424 , 646.709 , 430.981 , 6.18073 , 0.205875
2800 , 1.39949e-06 , 232.434 , 646.813 , 430.994 , 6.19373 , 0.206339
2820 , 1.40949e-06 , 232.446 , 646.922 , 431.008 , 6.20463 , 0.206721
2840 , 1.41949e-06 , 232.458 , 647.035 , 431.022 , 6.21352 , 0.207023
2860 , 1.42949e-06 , 232.47 , 647.152 , 431.036 , 6.22047 , 0.20725
2880 , 1.43949e-06 , 232.482 , 647.273 , 431.05 , 6.22561 , 0.207407
2900 , 1.44949e-06 , 232.494 , 647.395 , 431.065 , 6.22909 , 0.207497
2920 , 1.45949e-06 , 232.507 , 647.52 , 431.08 , 6.23105 , 0.207528
2940 , 1.46949e-06 , 232.52 , 647.648 , 431.094 , 6.23157 , 0.207504
2960 , 1.47949e-06 , 232.533 , 647.777 , 431.108 , 6.23081 , 0.207429
2980 , 1.48949e-06 , 232.546 , 647.906 , 431.122 , 6.22898 , 0.207312
3000 , 1.49949e-06 , 232.559 , 648.032 , 431.135 , 6.22622 , 0.207159
3020 , 1.50949e-06 , 232.57 , 648.156 , 431.149 , 6.22275 , 0.206978
3040 , 1.51949e-06 , 232.582 , 648.278 , 431.163 , 6.21875 , 0.206777
3060 , 1.52949e-06 , 232.593 , 648.398 , 431.175 , 6.2144 , 0.206562
3080 , 1.53949e-06 , 232.603 , 648.514 , 431.187 , 6.20994 , 0.206343
3100 , 1.54949e-06 , 232.613 , 648.626 , 431.198 , 6.20559 , 0.206128
3120 , 1.55948e-06 , 232.622 , 648.734 , 431.208 , 6.20155 , 0.205926
3140 , 1.56948e-06 , 232.631 , 648.836 , 431.216 , 6.19804 , 0.205744
3160 , 1.57948e-06 , 232.639 , 648.93 , 431.224 , 6.19521 , 0.20559
3180 , 1.58948e-06 , 232.646 , 649.018 , 431.23 , 6.19328 , 0.205472
3200 , 1.59948e-06 , 232.652 , 649.099 , 431.235 , 6.19242 , 0.205395
3220 , 1.60948e-06 , 232.657 , 649.17 , 431.238 , 6.19277 , 0.205366
3240 , 1.61948e-06 , 232.661 , 649.233 , 431.24 , 6.19452 , 0.205392
3260 , 1.62948e-06 , 232.664 , 649.286 , 431.239 , 6.19779 , 0.205479
3280 , 1.63948e-06 , 232.666 , 649.33 , 431.237 , 6.20271 , 0.20563
3300 , 1.64948e-06 , 232.668 , 649.363 , 431.233 , 6.20943 , 0.205853
3320 , 1.65948e-06 , 232.667 , 649.385 , 431.226 , 6.21808 , 0.206152
3340 , 1.66948e-06 , 232.666 , 649.396 , 431.218 , 6.22876 , 0.20653
3360 , 1.67948e-06 , 232.664 , 649.397 , 431.207 , 6.24154 , 0.206991
3380 , 1.68948e-06 , 232.661 , 649.385 , 431.194 , 6.2565 , 0.207539
3400 , 1.69948e-06 , 232.657 , 649.362 , 431.178 , 6.27372 , 0.208175
3420 , 1.70948e-06 , 232.651 , 649.327 , 431.16 , 6.29325 , 0.208903
3440 , 1.71948e-06 , 232.645 , 649.279 , 431.14 , 6.31513 , 0.209723
3460 , 1.72948e-06 , 232.637 , 649.221 , 431.116 , 6.33937 , 0.210635
3480 , 1.73948e-06 , 232.629 , 649.15 , 431.09 , 6.36597 , 0.211642
3500 , 1.74948e-06 , 232.619 , 649.067 , 431.062 , 6.39497 , 0.212742
3520 , 1.75948e-06 , 232.609 , 648.973 , 431.03 , 6.42633 , 0.213936
3540 , 1.76948e-06 , 232.597 , 648.867 , 430.997 , 6.46005 , 0.215222
