x_over_L,P_over_Pt,Mach,ro,u,P
1.09126985e-01,8.44749212e-01,4.96755481e-01,1.22641301e+00,1.69118774e+02,1.01532945e+05
1.13095231e-01,8.44774485e-01,4.96690422e-01,1.22643924e+00,1.69097336e+02,1.01535977e+05
1.13095231e-01,8.44693065e-01,4.96819377e-01,1.22635472e+00,1.69138916e+02,1.01526195e+05
1.13095231e-01,8.44611049e-01,4.96949524e-01,1.22626996e+00,1.69180862e+02,1.01516336e+05
1.17063500e-01,8.44803691e-01,4.96619672e-01,1.22646964e+00,1.69074081e+02,1.01539492e+05
1.17063500e-01,8.44720364e-01,4.96752858e-01,1.22638321e+00,1.69117035e+02,1.01529477e+05
1.17063500e-01,8.44636261e-01,4.96887416e-01,1.22629631e+00,1.69160416e+02,1.01519367e+05
1.21031754e-01,8.44838023e-01,4.96542513e-01,1.22650528e+00,1.69048782e+02,1.01543617e+05
1.21031754e-01,8.44752610e-01,4.96680379e-01,1.22641635e+00,1.69093292e+02,1.01533352e+05
1.21031754e-01,8.44666719e-01,4.96819496e-01,1.22632742e+00,1.69138199e+02,1.01523023e+05
1.25000000e-01,8.44701648e-01,4.96745378e-01,1.22636354e+00,1.69113968e+02,1.01527227e+05
1.25000000e-01,8.44789922e-01,4.96601254e-01,1.22645473e+00,1.69067444e+02,1.01537836e+05
1.25000000e-01,8.44877362e-01,4.96458620e-01,1.22654629e+00,1.69021332e+02,1.01548344e+05
1.28968254e-01,8.44921947e-01,4.96367753e-01,1.22659278e+00,1.68991653e+02,1.01553703e+05
1.28968254e-01,8.44832182e-01,4.96515483e-01,1.22649837e+00,1.69039474e+02,1.01542914e+05
1.28968254e-01,8.44741940e-01,4.96664822e-01,1.22640455e+00,1.69087753e+02,1.01532070e+05
1.32936493e-01,8.44972134e-01,4.96269614e-01,1.22664428e+00,1.68959702e+02,1.01559734e+05
1.32936493e-01,8.44880164e-01,4.96422917e-01,1.22654796e+00,1.69009338e+02,1.01548680e+05
1.32936493e-01,8.44787478e-01,4.96577561e-01,1.22645199e+00,1.69059341e+02,1.01537539e+05
1.36904761e-01,8.45028102e-01,4.96163726e-01,1.22670209e+00,1.68925278e+02,1.01566461e+05
1.36904761e-01,8.44933987e-01,4.96323138e-01,1.22660375e+00,1.68976913e+02,1.01555148e+05
1.36904761e-01,8.44838679e-01,4.96483624e-01,1.22650576e+00,1.69028763e+02,1.01543695e+05
1.40873030e-01,8.44895720e-01,4.96382415e-01,1.22656476e+00,1.68995956e+02,1.01550555e+05
1.40873030e-01,8.44993472e-01,4.96215791e-01,1.22666550e+00,1.68942062e+02,1.01562297e+05
1.40873030e-01,8.45090151e-01,4.96050149e-01,1.22676623e+00,1.68888397e+02,1.01573922e+05
1.44841269e-01,8.45158637e-01,4.95928764e-01,1.22683716e+00,1.68849014e+02,1.01582148e+05
1.44841269e-01,8.45059037e-01,4.96100783e-01,1.22673345e+00,1.68904785e+02,1.01570180e+05
1.44841269e-01,8.44958544e-01,4.96274203e-01,1.22662961e+00,1.68960922e+02,1.01558102e+05
1.48809522e-01,8.45232964e-01,4.95799333e-01,1.22691500e+00,1.68807022e+02,1.01591086e+05
1.48809522e-01,8.45130801e-01,4.95978266e-01,1.22680783e+00,1.68865112e+02,1.01578805e+05
1.48809522e-01,8.45027506e-01,4.96158570e-01,1.22670031e+00,1.68923584e+02,1.01566391e+05
1.52777761e-01,8.45313132e-01,4.95662063e-01,1.22699869e+00,1.68762527e+02,1.01600719e+05
1.52777761e-01,8.45208287e-01,4.95848238e-01,1.22688818e+00,1.68823059e+02,1.01588117e+05
1.52777761e-01,8.45101953e-01,4.96036142e-01,1.22677779e+00,1.68884003e+02,1.01575336e+05
1.56746030e-01,8.45181942e-01,4.95906800e-01,1.22686100e+00,1.68842239e+02,1.01584953e+05
