x_over_L,P_over_Pt,Mach,ro,u,P
2.32142851e-01,8.47356737e-01,4.92244512e-01,1.22911537e+00,1.67656860e+02,1.01846352e+05
2.32142851e-01,8.47085178e-01,4.92732048e-01,1.22883427e+00,1.67815201e+02,1.01813711e+05
2.32142851e-01,8.46815050e-01,4.93216693e-01,1.22855401e+00,1.67972626e+02,1.01781242e+05
2.36111119e-01,8.46863210e-01,4.93130028e-01,1.22860396e+00,1.67944489e+02,1.01787031e+05
2.36111119e-01,8.47148001e-01,4.92619365e-01,1.22889936e+00,1.67778595e+02,1.01821258e+05
2.36111119e-01,8.47434759e-01,4.92104352e-01,1.22919631e+00,1.67611313e+02,1.01855727e+05
2.40079388e-01,8.47504675e-01,4.91978765e-01,1.22926855e+00,1.67570526e+02,1.01864133e+05
2.40079388e-01,8.47201884e-01,4.92522210e-01,1.22895515e+00,1.67747040e+02,1.01827734e+05
2.40079388e-01,8.46901953e-01,4.93060678e-01,1.22864389e+00,1.67921982e+02,1.01791688e+05
2.44047627e-01,8.47564638e-01,4.91870970e-01,1.22933054e+00,1.67535522e+02,1.01871336e+05
2.44047627e-01,8.47245157e-01,4.92444485e-01,1.22899985e+00,1.67721802e+02,1.01832938e+05
2.44047627e-01,8.46929252e-01,4.93011624e-01,1.22867227e+00,1.67906036e+02,1.01794969e+05
2.48015881e-01,8.47612560e-01,4.91784841e-01,1.22938025e+00,1.67507523e+02,1.01877094e+05
2.48015881e-01,8.47275913e-01,4.92389321e-01,1.22903144e+00,1.67703903e+02,1.01836633e+05
2.48015881e-01,8.46943378e-01,4.92986411e-01,1.22868693e+00,1.67897842e+02,1.01796664e+05
2.51984119e-01,8.47291648e-01,4.92361039e-01,1.22904813e+00,1.67694687e+02,1.01838523e+05
2.51984119e-01,8.46941829e-01,4.92989302e-01,1.22868562e+00,1.67898758e+02,1.01796477e+05
2.51984119e-01,8.47646296e-01,4.91724104e-01,1.22941518e+00,1.67487793e+02,1.01881148e+05
2.55952388e-01,8.47663462e-01,4.91693348e-01,1.22943306e+00,1.67477798e+02,1.01883211e+05
2.55952388e-01,8.47290099e-01,4.92363870e-01,1.22904634e+00,1.67695618e+02,1.01838336e+05
2.55952388e-01,8.46922159e-01,4.93024409e-01,1.22866535e+00,1.67910156e+02,1.01794117e+05
2.59920627e-01,8.47660780e-01,4.91698146e-01,1.22943032e+00,1.67479355e+02,1.01882891e+05
2.59920627e-01,8.47267985e-01,4.92403448e-01,1.22902358e+00,1.67708466e+02,1.01835680e+05
2.59920627e-01,8.46881866e-01,4.93096590e-01,1.22862327e+00,1.67933624e+02,1.01789273e+05
2.63888866e-01,8.47635090e-01,4.91744161e-01,1.22940350e+00,1.67494308e+02,1.01879805e+05
2.63888866e-01,8.47222686e-01,4.92484957e-01,1.22897649e+00,1.67734955e+02,1.01830234e+05
2.63888866e-01,8.46817315e-01,4.93212104e-01,1.22855663e+00,1.67971115e+02,1.01781516e+05
2.67857105e-01,8.46725941e-01,4.93376493e-01,1.22846186e+00,1.68024506e+02,1.01770531e+05
2.67857105e-01,8.47150207e-01,4.92615163e-01,1.22890162e+00,1.67777222e+02,1.01821523e+05
2.67857105e-01,8.47582817e-01,4.91838068e-01,1.22934949e+00,1.67524811e+02,1.01873523e+05
2.71825403e-01,8.47500265e-01,4.91986513e-01,1.22926378e+00,1.67573059e+02,1.01863602e+05
2.71825403e-01,8.47046971e-01,4.92800236e-01,1.22879469e+00,1.67837341e+02,1.01809117e+05
2.71825403e-01,8.46603692e-01,4.93595898e-01,1.22833526e+00,1.68095764e+02,1.01755836e+05
2.75793672e-01,8.47382724e-01,4.92197812e-01,1.22914219e+00,1.67641678e+02,1.01849469e+05
2.75793672e-01,8.46908927e-01,4.93048042e-01,1.22865176e+00,1.67917831e+02,1.01792523e+05
2.75793672e-01,8.46446455e-01,4.93877709e-01,1.22817242e+00,1.68187256e+02,1.01736938e+05
2.79761910e-01,8.47225785e-01,4.92479771e-01,1.22898006e+00,1.67733246e+02,1.01830609e+05
2.79761910e-01,8.46731603e-01,4.93366182e-01,1.22846806e+00,1.68021133e+02,1.01771211e+05
2.79761910e-01,8.46250236e-01,4.94229376e-01,1.22796893e+00,1.68301453e+02,1.01713352e+05
2.83730179e-01,8.46010506e-01,4.94659007e-01,1.22772074e+00,1.68440933e+02,1.01684539e+05
2.83730179e-01,8.46510410e-01,4.93763059e-01,1.22823882e+00,1.68150024e+02,1.01744625e+05
2.83730179e-01,8.47024262e-01,4.92841482e-01,1.22877121e+00,1.67850739e+02,1.01806391e+05
2.87698418e-01,8.46773148e-01,4.93292272e-01,1.22851086e+00,1.67997162e+02,1.01776203e+05
2.87698418e-01,8.46240163e-01,4.94247556e-01,1.22795868e+00,1.68307343e+02,1.01712141e+05
2.87698418e-01,8.45722735e-01,4.95174497e-01,1.22742248e+00,1.68608261e+02,1.01649953e+05
2.91666657e-01,8.46466184e-01,4.93842512e-01,1.22819293e+00,1.68175827e+02,1.01739312e+05
2.91666657e-01,8.45915437e-01,4.94829506e-01,1.22762239e+00,1.68496262e+02,1.01673117e+05
2.91666657e-01,8.45381439e-01,4.95785087e-01,1.22706914e+00,1.68806396e+02,1.01608930e+05
2.95634896e-01,8.46098363e-01,4.94501978e-01,1.22781205e+00,1.68389938e+02,1.01695102e+05
2.95634896e-01,8.45530927e-01,4.95517671e-01,1.22722340e+00,1.68719650e+02,1.01626898e+05
2.95634896e-01,8.44982088e-01,4.96499240e-01,1.22665453e+00,1.69038177e+02,1.01560930e+05
2.99603164e-01,8.44518900e-01,4.97325540e-01,1.22617590e+00,1.69306122e+02,1.01505258e+05
2.99603164e-01,8.45081329e-01,4.96322066e-01,1.22675884e+00,1.68980591e+02,1.01572859e+05
2.99603164e-01,8.45663249e-01,4.95281458e-01,1.22736073e+00,1.68642990e+02,1.01642805e+05
3.03571403e-01,8.45154464e-01,4.96190488e-01,1.22683525e+00,1.68937851e+02,1.01581648e+05
3.03571403e-01,8.44561279e-01,4.97253627e-01,1.22621703e+00,1.69283035e+02,1.01510352e+05
3.03571403e-01,8.43989611e-01,4.98274833e-01,1.22562385e+00,1.69614319e+02,1.01441641e+05
3.07539672e-01,8.44569206e-01,4.97241110e-01,1.22622538e+00,1.69279007e+02,1.01511305e+05
3.07539672e-01,8.43963444e-01,4.98313516e-01,1.22560024e+00,1.69626480e+02,1.01438500e+05
3.07539672e-01,8.43382955e-01,4.99347359e-01,1.22499871e+00,1.69961655e+02,1.01368727e+05
3.11507910e-01,8.43894541e-01,4.98435736e-01,1.22553003e+00,1.69666016e+02,1.01430219e+05
3.11507910e-01,8.43288958e-01,4.99520004e-01,1.22490335e+00,1.70017563e+02,1.01357430e+05
3.11507910e-01,8.42707574e-01,5.00562012e-01,1.22430098e+00,1.70355377e+02,1.01287555e+05
3.15476209e-01,8.41945052e-01,5.01919627e-01,1.22350943e+00,1.70795319e+02,1.01195898e+05
3.15476209e-01,8.42530370e-01,5.00878751e-01,1.22411716e+00,1.70458054e+02,1.01266250e+05
3.15476209e-01,8.43140423e-01,4.99793023e-01,1.22475028e+00,1.70106125e+02,1.01339578e+05
3.19444448e-01,8.42288077e-01,5.01313567e-01,1.22386742e+00,1.70598892e+02,1.01237133e+05
3.19444448e-01,8.41679335e-01,5.02393961e-01,1.22323525e+00,1.70948914e+02,1.01163961e+05
3.19444448e-01,8.41096938e-01,5.03426313e-01,1.22263050e+00,1.71283264e+02,1.01093961e+05
3.23412716e-01,8.41332495e-01,5.03006995e-01,1.22287178e+00,1.71147659e+02,1.01122273e+05
3.23412716e-01,8.40731144e-01,5.04072666e-01,1.22224712e+00,1.71492767e+02,1.01050000e+05
3.23412716e-01,8.40156496e-01,5.05089164e-01,1.22165012e+00,1.71821823e+02,1.00980930e+05
3.27380955e-01,8.40284646e-01,5.04875243e-01,1.22179317e+00,1.71752106e+02,1.00996336e+05
3.27380955e-01,8.39694738e-01,5.05917370e-01,1.22117984e+00,1.72089386e+02,1.00925430e+05
3.27380955e-01,8.39132309e-01,5.06909490e-01,1.22059464e+00,1.72410431e+02,1.00857828e+05
3.31349224e-01,8.37976575e-01,5.08902013e-01,1.21936834e+00,1.73055832e+02,1.00718922e+05
3.31349224e-01,8.38519990e-01,5.07942855e-01,1.21993256e+00,1.72745712e+02,1.00784234e+05
3.31349224e-01,8.39090168e-01,5.06934464e-01,1.22052395e+00,1.72419586e+02,1.00852766e+05
3.35245848e-01,8.38455796e-01,5.08200049e-01,1.21991765e+00,1.72827606e+02,1.00776516e+05
3.35246652e-01,8.37876558e-01,5.09214044e-01,1.21931338e+00,1.73155502e+02,1.00706898e+05
3.35247427e-01,8.37326407e-01,5.10176301e-01,1.21873939e+00,1.73466583e+02,1.00640773e+05
3.39075953e-01,8.36744666e-01,5.11082947e-01,1.21810114e+00,1.73759995e+02,1.00570852e+05
3.39078277e-01,8.36215138e-01,5.12013555e-01,1.21755064e+00,1.74060623e+02,1.00507203e+05
