x_over_L,P_over_Pt,Mach,ro,u,P
1.68650791e-01,2.18424946e-01,1.64990747e+00,4.00760889e-01,4.55755676e+02,2.18424941e+04
1.72619045e-01,2.18425021e-01,1.64990735e+00,4.00760978e-01,4.55755646e+02,2.18425020e+04
1.72619045e-01,2.18421698e-01,1.64991772e+00,4.00756598e-01,4.55757538e+02,2.18421699e+04
1.72619045e-01,2.18424857e-01,1.64990759e+00,4.00760740e-01,4.55755707e+02,2.18424863e+04
1.76587284e-01,2.18424827e-01,1.64990795e+00,4.00760680e-01,4.55755737e+02,2.18424824e+04
1.76587284e-01,2.18421698e-01,1.64991748e+00,4.00756657e-01,4.55757416e+02,2.18421699e+04
1.76587284e-01,2.18425021e-01,1.64990735e+00,4.00760978e-01,4.55755646e+02,2.18425020e+04
1.80555537e-01,2.18424767e-01,1.64990842e+00,4.00760829e-01,4.55755737e+02,2.18424766e+04
1.80555537e-01,2.18421772e-01,1.64991713e+00,4.00756627e-01,4.55757416e+02,2.18421777e+04
1.80555537e-01,2.18424916e-01,1.64990830e+00,4.00760949e-01,4.55755798e+02,2.18424922e+04
1.84523821e-01,2.18424961e-01,1.64990711e+00,4.00760949e-01,4.55755524e+02,2.18424961e+04
1.84523821e-01,2.18421683e-01,1.64991713e+00,4.00756568e-01,4.55757385e+02,2.18421680e+04
1.84523821e-01,2.18424857e-01,1.64990747e+00,4.00760800e-01,4.55755615e+02,2.18424863e+04
1.88492060e-01,2.18424782e-01,1.64990687e+00,4.00760591e-01,4.55755493e+02,2.18424785e+04
1.88492060e-01,2.18421802e-01,1.64991665e+00,4.00756687e-01,4.55757294e+02,2.18421797e+04
1.88492060e-01,2.18424886e-01,1.64990735e+00,4.00760889e-01,4.55755524e+02,2.18424883e+04
1.92460313e-01,2.18424916e-01,1.64990723e+00,4.00760859e-01,4.55755554e+02,2.18424922e+04
1.92460313e-01,2.18421772e-01,1.64991689e+00,4.00756717e-01,4.55757324e+02,2.18421777e+04
1.92460313e-01,2.18424723e-01,1.64990711e+00,4.00760561e-01,4.55755524e+02,2.18424727e+04
1.96428582e-01,2.18424752e-01,1.64990819e+00,4.00760710e-01,4.55755707e+02,2.18424746e+04
