x_over_L,P_over_Pt,Mach,ro,u,P
1.40873030e-01,2.18395084e-01,1.64999878e+00,4.00721371e-01,4.55772186e+02,2.18395078e+04
1.40873030e-01,2.18395084e-01,1.64999938e+00,4.00721550e-01,4.55772247e+02,2.18395078e+04
1.44841269e-01,2.18395114e-01,1.64999914e+00,4.00721610e-01,4.55772186e+02,2.18395117e+04
1.44841269e-01,2.18394980e-01,1.64999914e+00,4.00721282e-01,4.55772217e+02,2.18394980e+04
1.44841269e-01,2.18395144e-01,1.64999866e+00,4.00721490e-01,4.55772156e+02,2.18395137e+04
1.48809522e-01,2.18395114e-01,1.64999914e+00,4.00721610e-01,4.55772186e+02,2.18395117e+04
1.48809522e-01,2.18394876e-01,1.64999962e+00,4.00721222e-01,4.55772278e+02,2.18394883e+04
1.48809522e-01,2.18395084e-01,1.64999902e+00,4.00721461e-01,4.55772186e+02,2.18395078e+04
1.52777761e-01,2.18395054e-01,1.64999938e+00,4.00721490e-01,4.55772247e+02,2.18395059e+04
1.52777761e-01,2.18394905e-01,1.64999926e+00,4.00721192e-01,4.55772217e+02,2.18394902e+04
1.52777761e-01,2.18395054e-01,1.64999938e+00,4.00721610e-01,4.55772186e+02,2.18395059e+04
1.56746030e-01,2.18395025e-01,1.64999938e+00,4.00721550e-01,4.55772186e+02,2.18395020e+04
1.56746030e-01,2.18394831e-01,1.64999962e+00,4.00721133e-01,4.55772278e+02,2.18394824e+04
1.56746030e-01,2.18394920e-01,1.64999986e+00,4.00721371e-01,4.55772339e+02,2.18394922e+04
1.60714284e-01,2.18394935e-01,1.64999974e+00,4.00721371e-01,4.55772308e+02,2.18394941e+04
1.60714284e-01,2.18394861e-01,1.64999950e+00,4.00721133e-01,4.55772278e+02,2.18394863e+04
1.60714284e-01,2.18394965e-01,1.64999950e+00,4.00721490e-01,4.55772186e+02,2.18394961e+04
1.64682552e-01,2.18394965e-01,1.64999974e+00,4.00721401e-01,4.55772308e+02,2.18394961e+04
1.64682552e-01,2.18394831e-01,1.64999962e+00,4.00721103e-01,4.55772308e+02,2.18394824e+04
1.64682552e-01,2.18394905e-01,1.65000010e+00,4.00721461e-01,4.55772308e+02,2.18394902e+04
1.68650791e-01,2.18395025e-01,1.64999962e+00,4.00721461e-01,4.55772308e+02,2.18395020e+04
1.68650791e-01,2.18394846e-01,1.64999914e+00,4.00721043e-01,4.55772247e+02,2.18394844e+04
1.68650791e-01,2.18394980e-01,1.64999974e+00,4.00721550e-01,4.55772247e+02,2.18394980e+04
1.72619045e-01,2.18395054e-01,1.64999962e+00,4.00721490e-01,4.55772308e+02,2.18395059e+04
1.72619045e-01,2.18394831e-01,1.64999950e+00,4.00720984e-01,4.55772339e+02,2.18394824e+04
1.72619045e-01,2.18394831e-01,1.65000021e+00,4.00721312e-01,4.55772339e+02,2.18394824e+04
1.76587284e-01,2.18394831e-01,1.65000010e+00,4.00721252e-01,4.55772339e+02,2.18394824e+04
1.76587284e-01,2.18394831e-01,1.64999986e+00,4.00721133e-01,4.55772339e+02,2.18394824e+04
1.76587284e-01,2.18394905e-01,1.65000021e+00,4.00721461e-01,4.55772339e+02,2.18394902e+04
1.80555537e-01,2.18394846e-01,1.65000010e+00,4.00721282e-01,4.55772339e+02,2.18394844e+04
1.80555537e-01,2.18394831e-01,1.64999926e+00,4.00721014e-01,4.55772278e+02,2.18394824e+04
1.80555537e-01,2.18394905e-01,1.65000033e+00,4.00721461e-01,4.55772369e+02,2.18394902e+04
1.84523821e-01,2.18394905e-01,1.64999962e+00,4.00721252e-01,4.55772278e+02,2.18394902e+04
1.84523821e-01,2.18394682e-01,1.65000010e+00,4.00720894e-01,4.55772400e+02,2.18394688e+04
1.84523821e-01,2.18394905e-01,1.65000010e+00,4.00721401e-01,4.55772339e+02,2.18394902e+04
1.88492060e-01,2.18394831e-01,1.65000093e+00,4.00721431e-01,4.55772461e+02,2.18394824e+04
1.88492060e-01,2.18394741e-01,1.64999938e+00,4.00720835e-01,4.55772308e+02,2.18394746e+04
1.88492060e-01,2.18394831e-01,1.64999998e+00,4.00721252e-01,4.55772308e+02,2.18394824e+04
1.92460313e-01,2.18394727e-01,1.65000021e+00,4.00721163e-01,4.55772339e+02,2.18394727e+04
1.92460313e-01,2.18394667e-01,1.65000010e+00,4.00720745e-01,4.55772461e+02,2.18394668e+04
1.92460313e-01,2.18394876e-01,1.65000033e+00,4.00721401e-01,4.55772400e+02,2.18394883e+04
1.96428582e-01,2.18394771e-01,1.65000021e+00,4.00721222e-01,4.55772339e+02,2.18394766e+04
1.96428582e-01,2.18394667e-01,1.65000010e+00,4.00720805e-01,4.55772461e+02,2.18394668e+04
1.96428582e-01,2.18394801e-01,1.65000057e+00,4.00721341e-01,4.55772369e+02,2.18394805e+04
2.00396836e-01,2.18394771e-01,1.65000045e+00,4.00721252e-01,4.55772400e+02,2.18394766e+04
2.00396836e-01,2.18394682e-01,1.65000010e+00,4.00720865e-01,4.55772400e+02,2.18394688e+04
2.00396836e-01,2.18394831e-01,1.65000021e+00,4.00721282e-01,4.55772369e+02,2.18394824e+04
2.04365090e-01,2.18394741e-01,1.65000081e+00,4.00721252e-01,4.55772430e+02,2.18394746e+04
2.04365090e-01,2.18394741e-01,1.64999974e+00,4.00720805e-01,4.55772400e+02,2.18394746e+04
2.04365090e-01,2.18394801e-01,1.65000010e+00,4.00721222e-01,4.55772339e+02,2.18394805e+04
2.08333328e-01,2.18394741e-01,1.65000045e+00,4.00721192e-01,4.55772400e+02,2.18394746e+04
2.08333328e-01,2.18394667e-01,1.64999998e+00,4.00720775e-01,4.55772400e+02,2.18394668e+04
2.08333328e-01,2.18394741e-01,1.65000081e+00,4.00721312e-01,4.55772430e+02,2.18394746e+04
2.12301567e-01,2.18394741e-01,1.65000045e+00,4.00721192e-01,4.55772400e+02,2.18394746e+04
2.12301567e-01,2.18394682e-01,1.64999986e+00,4.00720745e-01,4.55772430e+02,2.18394688e+04
2.12301567e-01,2.18394771e-01,1.65000081e+00,4.00721312e-01,4.55772430e+02,2.18394766e+04
2.16269836e-01,2.18394786e-01,1.65000021e+00,4.00721282e-01,4.55772339e+02,2.18394785e+04
2.16269836e-01,2.18394652e-01,1.65000033e+00,4.00720805e-01,4.55772461e+02,2.18394648e+04
2.16269836e-01,2.18394741e-01,1.65000045e+00,4.00721192e-01,4.55772400e+02,2.18394746e+04
2.20238090e-01,2.18394786e-01,1.65000033e+00,4.00721222e-01,4.55772400e+02,2.18394785e+04
2.20238090e-01,2.18394667e-01,1.64999986e+00,4.00720716e-01,4.55772430e+02,2.18394668e+04
