role,L_c,M_K,n_axis,hard_gate,error,x_K,ell_K,xi_K,s_K,Mpp_sign_changes,single_peak,theta_max_deg,min_mu_minus_theta_deg,flip_interior,topology_margin,downstream_max_dkds,downstream_J_dkds2,Mppp_jump,max_Mppp,J_axis
sweep,30.0,2.9,600,True,,4.832162393054107,4.407557678779508,0.14691858929265025,0.24225902015061473,1,True,20.178182018636758,-1.0143390179439211,0,0.04972599975084651,0.47813340128315024,0.0714276414914251,0.05879161353278242,0.21048824803538918,0.03058874312736299
sweep,30.0,3.0,600,True,,5.115339131599221,4.690734417324622,0.15635781391082074,0.23706732936996408,1,True,20.30777091335433,-1.0754262422176721,0,0.050346913496014216,0.5825663030629228,0.08460320933221022,0.05140163017463244,0.1938051479709259,0.027208907534538244
sweep,30.0,3.1,600,True,,5.402773398086067,4.978168683811468,0.16593895612704893,0.23179758214769586,1,True,20.463878838693322,-1.1393748869359046,0,0.050844998921667085,0.4041931415994011,0.07039578799191597,0.04519585428719758,0.17924811983787373,0.024379476901934347
sweep,30.0,3.2,600,True,,5.694663203996226,5.270058489721627,0.17566861632405426,0.22644614819135345,1,True,20.608063100677374,-1.2188024013671428,0,0.05140409365638718,0.6154484055741524,0.07933590016802744,0.03994119376057571,0.1664455011808486,0.02198545233644819
sweep,30.0,3.3,600,True,,5.99122240267306,5.566617688398461,0.18555392294661535,0.2210091067676682,1,True,20.777874088501655,-1.29925847420509,0,0.05205340099727352,1.0316797606278643,0.1049594706210169,0.03545851945364969,0.15510539539025814,0.019940321704203248
sweep,30.0,3.4,600,True,,6.292682522641304,5.868077808366705,0.19560259361222349,0.21548221309129187,1,True,20.936931888255202,-1.3901252061702725,0,0.05255698141327475,0.6998890359328301,0.08984944328245648,0.031608406932374884,0.14499566747039783,0.01817801867079339
sweep,30.0,3.5,600,True,,6.599294883043447,6.174690168768848,0.20582300562562825,0.20986085954046246,1,True,21.116282418448062,-1.4824820271968773,0,0.05274449199855721,0.6465528124863528,0.09487639360478341,0.028281072994101483,0.1359296040501819,0.016647400472019933
sweep,30.0,3.6,600,True,,6.911333046212688,6.486728331938089,0.21622427773126962,0.20414003069253192,1,True,21.289254390661686,-1.5840266613403082,0,0.052723613711590546,0.6413706492756833,0.096316137828214,0.0253891556880389,0.12775546583865025,0.015308384488994011
sweep,30.0,3.7,600,True,,7.22909567540874,6.804490961134141,0.22681636537113803,0.19831425093074467,1,True,21.476713088392827,-1.685016599846061,0,0.05223914236079824,1.204338550636704,0.16720765310041028,0.022862456593681826,0.12034876289397704,0.014129199431772725
sweep,30.0,3.8,600,True,,7.5529098826968095,7.1283051684222105,0.23761017228074036,0.1923775230651094,1,True,21.663891353341672,-1.7965304794987538,0,0.051757518426294294,1.2883669056359914,0.20263284859185582,0.020644059364843988,0.11360646554536741,0.013084399259408765
sweep,30.0,3.9,600,True,,7.8831351737984345,7.4585304595238355,0.24861768198412784,0.18632325600859118,1,True,21.85809105956261,-1.9036689623274496,0,0.05117082066047075,1.1860812598094503,0.27103660535039975,0.018687427904343575,0.10744261178191787,0.012153407816497236
sweep,30.0,4.0,600,True,,8.220168125403884,7.795563411129285,0.2598521137043095,0.1801441790243341,1,True,22.060603003382255,-2.0244194599843244,0,0.050496816218837205,2.616800320065195,0.566785133902086,0.016954211273776117,0.1017849357597299,0.011319438426145422
sweep,35.0,1.5,600,False,,1.2751653662782247,0.8505606520036262,0.02430173291438932,0.26354751854888214,1,True,18.061630966262868,-0.28757546154937513,0,0.05088094730702558,21.52301289876214,77.27506145292071,2.177768441433929,2.973999878400479,1.9027857586080337
sweep,35.0,1.6,600,True,,1.5263438630111548,1.1017391487365562,0.031478261392473034,0.25960033874929633,1,True,17.979144119133014,-0.24812200758260589,0,0.05113957636321298,20.627400452929134,70.5167426982042,1.2829341957628329,1.897327825368475,0.9452237720102569
sweep,35.0,1.7,600,True,,1.7800503827631555,1.355445668488557,0.038727019099673056,0.25561343197657554,1,True,17.89579257990569,-0.21073067060717962,0,0.051419200570100666,15.726968793737523,44.01094573849025,0.8376730985460137,1.3368135229918667,0.5475926140537124
sweep,35.0,1.8,600,True,,2.036362828675928,1.6117581144013293,0.04605023184003798,0.25158557401080667,1,True,17.798980391919635,-0.1628632605347013,0,0.05172129670572768,14.60215121274313,33.56066660284974,0.5853981497115599,1.0049470529230398,0.351044309058654
sweep,35.0,1.9,600,True,,2.295363189125077,1.8707584748504784,0.0534502421385851,0.24751547643416777,1,True,17.710951379069567,-0.12151260345899725,0,0.051910596242187086,9.206970716862232,15.749859912560439,0.4293005354591027,0.790577676935621,0.2417462429818581
sweep,35.0,2.0,600,True,,2.557137844082263,2.1325331298076646,0.0609295179945047,0.24340178181651223,1,True,17.609197855211946,-0.07138849231683515,0,0.05226263844943594,7.596336163983749,8.91388659677502,0.32634919311805566,0.6431135590063322,0.17556974916026685
sweep,35.0,2.1,600,True,,2.821777901658369,2.3971731873837703,0.06849066249667915,0.23924305842650598,1,True,17.50969435468365,-0.02253748027415909,0,0.052506481360131745,5.268993853639376,4.544135699056111,0.2550831315586261,0.5367299070653705,0.13283816801807735
sweep,35.0,2.2,600,True,,3.089379568575931,2.6647748543013323,0.0761364244086095,0.23503779441013034,1,True,17.437693228643408,0.034280480494615,0,0.05281957745859501,3.230418733246924,1.5852267563482785,0.20384155507156132,0.45707088493052983,0.10381908398306547
sweep,35.0,2.3,600,True,,3.360044558794598,2.9354398445199994,0.08386970984342855,0.23078439136908918,1,True,17.406126799128064,0.08799449841434095,0,0.053222028360920846,2.6400087612644776,1.1099420073089048,0.16585351888218028,0.3956111774115442,0.08329700281414228
sweep,35.0,2.4,600,True,,3.633880545241509,3.2092758309669103,0.09169359517048314,0.2264811572620111,1,True,17.41779093404196,0.14309711033752062,0,0.053563326079624746,1.9482620782152913,0.7328193508417996,0.13697314384667547,0.3470137239835643,0.06829260176261485
sweep,35.0,2.5,600,True,,3.911001660332667,3.4863969460580684,0.0996113413159448,0.22212629853901752,1,True,17.46947569546983,0.18603358601096168,0,0.05394236456731211,1.3001587630527605,0.2758721575785583,0.1145492477883602,0.3077901386731462,0.057012802128296486
sweep,35.0,2.6,600,True,,4.191529051872577,3.766924337597979,0.10762640964565653,0.21771791140588032,1,True,17.55560959018499,0.20856596823356818,0,0.054361914542441526,0.728636560331459,0.12649585600747484,0.09682396715319777,0.27557693070203837,0.04833054635821384
sweep,35.0,2.7,600,True,,4.475591502025647,4.050986787751048,0.11574247965002996,0.21325397209717376,1,True,17.670344532441696,0.20774570907726742,0,0.054825080465537204,0.6963158654477052,0.12195685094794904,0.08259545993584962,0.24872331034809575,0.04151090025710125
sweep,35.0,2.8,600,True,,4.763326118322121,4.338721404047522,0.12396346868707206,0.2087323260173778,1,True,17.80781356917621,0.18326916162094348,0,0.05533560930017281,0.4230337539445311,0.07436591350604588,0.07102012528715873,0.22604581308715785,0.03605929691129271
sweep,35.0,2.9,600,True,,5.054879107213171,4.630274392938572,0.1322935540839592,0.204150675584583,1,True,17.9738728381139,0.13719008093601048,0,0.05583434444787077,0.43949812195508847,0.07381081095777539,0.06149214426920579,0.20667660073429056,0.031633715267408845
sweep,35.0,3.0,600,True,,5.350406642585744,4.925801928311145,0.140737197951747,0.1995065665823442,1,True,18.15953191085447,0.07250628115841319,0,0.05644537868197776,0.9375327829914817,0.09248125870501625,0.05356766621546145,0.18996656189285324,0.027991912225523607
sweep,35.0,3.1,600,True,,5.65007584384227,5.225471129567671,0.1492991751305049,0.19479737278932077,1,True,18.357580350194652,-0.007418346405262508,0,0.057009215386038314,0.34563069146948927,0.07141502066808467,0.046915706626202695,0.17542162518096852,0.024958660400528323
sweep,35.0,3.2,600,True,,5.954065880961435,5.529461166686836,0.15798460476248102,0.19002027861363102,1,True,18.565966091395886,-0.09831812274157453,0,0.05777253626032265,0.8870669495166927,0.08490307333007964,0.04128553196406148,0.16265983631583641,0.02240481139705593
sweep,35.0,3.3,600,True,,6.2625692272907685,5.8379645130161695,0.16679898608617627,0.1851722594059058,1,True,18.78693432597541,-0.2078536909014351,0,0.05839392158694278,1.173725968969624,0.09828202643274654,0.036484504215088163,0.15138177680986123,0.020233569195574713
