stage,L_c,M_K,n_axis,robust,hard_gate,single_peak,x_F,x_E,xF_minus_xE,theta_max_deg,min_mu_minus_theta_deg,min_sin_angle_interior,flip_interior,crossings
coarse,38.0,2.2,600,False,True,True,93.06392092989239,38.4246047142746,54.63931621561779,16.401867695218307,0.5555556724254795,0.055997333955818726,0,0
coarse,38.0,2.3,600,False,True,True,93.06392098070266,38.4246047142746,54.63931626642806,16.318994526950288,0.6101828023065953,0.056360453608616676,0,0
coarse,38.0,2.4,600,False,True,True,93.06392103589008,38.4246047142746,54.639316321615475,16.275996839084947,0.6721477476441916,0.0567609670361347,0,0
coarse,38.0,2.5,600,False,True,True,93.06392109577807,38.4246047142746,54.63931638150347,16.28524213703519,0.7325874413900979,0.05719283407443007,0,0
coarse,38.0,2.6,600,False,True,True,93.0639211607162,38.4246047142746,54.639316446441605,16.348728819849647,0.7788712272824573,0.05767952338670824,0,0
coarse,38.0,2.7,600,False,True,True,93.06392123108876,38.4246047142746,54.639316516814155,16.45300931550004,0.8028618995328911,0.05821321911338773,0,0
coarse,38.0,2.8,600,False,True,True,93.06392130731544,38.4246047142746,54.63931659304084,16.59371680039584,0.8008117285343267,0.058655897193172504,0,0
coarse,38.0,2.9,600,False,True,True,93.06392138985714,38.4246047142746,54.63931667558254,16.76571366063005,0.7717875039530386,0.05928959382189828,0,0
coarse,38.0,3.0,600,False,True,True,93.06392147922215,38.4246047142746,54.639316764947544,16.96473960207204,0.7173370762228177,0.05984465392758012,0,0
coarse,38.0,3.1,600,False,True,True,93.06392157596862,38.4246047142746,54.63931686169402,17.187559840528,0.6395455023099652,0.06046405173666921,0,0
coarse,38.0,3.2,600,False,True,True,93.06392168071257,38.4246047142746,54.63931696643797,17.431871068571958,0.5416314073278115,0.061176222384630836,0,0
coarse,38.5,2.2,600,False,True,True,93.74419602633564,38.9246047142746,54.81959131206104,16.24102135885818,0.636348974999659,0.056538499800304946,0,0
coarse,38.5,2.3,600,False,True,True,93.7441960320949,38.9246047142746,54.819591317820304,16.148459190761304,0.6962380027665561,0.05690863755947287,0,0
coarse,38.5,2.4,600,False,True,True,93.74419603832737,38.9246047142746,54.81959132405277,16.103518630853056,0.7528519117932091,0.05736275085551004,0,0
coarse,38.5,2.5,600,False,True,True,93.74419604506781,38.9246047142746,54.81959133079321,16.10767097331604,0.8132498195982276,0.057761288022186656,0,0
coarse,38.5,2.6,600,False,True,True,93.74419605235363,38.9246047142746,54.81959133807903,16.159039957807423,0.8646102861696036,0.05816426866498193,0,0
coarse,38.5,2.7,600,False,True,True,93.74419606022494,38.9246047142746,54.819591345950336,16.255138985594556,0.8963427127754806,0.05870530177801738,0,0
coarse,38.5,2.8,600,False,True,True,93.74419606872716,38.9246047142746,54.81959135445256,16.392447062169094,0.898668927680639,0.05917278742574865,0,0
