Step , TotalTime , T , P , Ux , Uy , Uz
2880 , 1.43949e-06 , 232.79 , 644.526 , 427.868 , 5.13077 , 0.173429
2900 , 1.44949e-06 , 232.8 , 644.679 , 427.924 , 5.10523 , 0.172325
2920 , 1.45949e-06 , 232.809 , 644.829 , 427.98 , 5.07957 , 0.171217
2940 , 1.46949e-06 , 232.817 , 644.976 , 428.037 , 5.05373 , 0.170102
2960 , 1.47949e-06 , 232.825 , 645.121 , 428.094 , 5.02772 , 0.16898
2980 , 1.48949e-06 , 232.834 , 645.264 , 428.15 , 5.0016 , 0.167854
3000 , 1.49949e-06 , 232.841 , 645.405 , 428.206 , 4.97542 , 0.166726
3020 , 1.50949e-06 , 232.848 , 645.542 , 428.263 , 4.94927 , 0.165599
3040 , 1.51949e-06 , 232.855 , 645.676 , 428.319 , 4.92314 , 0.164474
3060 , 1.52949e-06 , 232.86 , 645.806 , 428.376 , 4.89709 , 0.163353
3080 , 1.53949e-06 , 232.866 , 645.933 , 428.433 , 4.87113 , 0.162235
3100 , 1.54949e-06 , 232.87 , 646.057 , 428.49 , 4.84533 , 0.161125
3120 , 1.55948e-06 , 232.874 , 646.177 , 428.547 , 4.81974 , 0.160022
3140 , 1.56948e-06 , 232.878 , 646.292 , 428.604 , 4.79442 , 0.158931
3160 , 1.57948e-06 , 232.881 , 646.404 , 428.661 , 4.76947 , 0.157853
3180 , 1.58948e-06 , 232.883 , 646.513 , 428.718 , 4.74495 , 0.156794
3200 , 1.59948e-06 , 232.885 , 646.617 , 428.774 , 4.72093 , 0.155754
3220 , 1.60948e-06 , 232.886 , 646.717 , 428.83 , 4.69745 , 0.154736
3240 , 1.61948e-06 , 232.886 , 646.811 , 428.886 , 4.67458 , 0.153742
3260 , 1.62948e-06 , 232.885 , 646.901 , 428.941 , 4.65245 , 0.152777
3280 , 1.63948e-06 , 232.884 , 646.986 , 428.997 , 4.63109 , 0.151843
3300 , 1.64948e-06 , 232.882 , 647.067 , 429.051 , 4.61057 , 0.150942
3320 , 1.65948e-06 , 232.88 , 647.142 , 429.106 , 4.59095 , 0.150078
3340 , 1.66948e-06 , 232.877 , 647.211 , 429.159 , 4.5723 , 0.149251
3360 , 1.67948e-06 , 232.873 , 647.276 , 429.213 , 4.55469 , 0.148466
3380 , 1.68948e-06 , 232.868 , 647.335 , 429.266 , 4.53815 , 0.147723
3400 , 1.69948e-06 , 232.862 , 647.389 , 429.318 , 4.52271 , 0.147024
3420 , 1.70948e-06 , 232.856 , 647.439 , 429.37 , 4.50842 , 0.146371
3440 , 1.71948e-06 , 232.85 , 647.483 , 429.421 , 4.4953 , 0.145764
3460 , 1.72948e-06 , 232.843 , 647.522 , 429.473 , 4.48334 , 0.145202
3480 , 1.73948e-06 , 232.835 , 647.557 , 429.523 , 4.47264 , 0.144691
3500 , 1.74948e-06 , 232.827 , 647.587 , 429.572 , 4.46325 , 0.144232
3520 , 1.75948e-06 , 232.818 , 647.612 , 429.621 , 4.45518 , 0.143825
3540 , 1.76948e-06 , 232.808 , 647.632 , 429.67 , 4.4484 , 0.14347
3560 , 1.77948e-06 , 232.798 , 647.648 , 429.718 , 4.44288 , 0.143164
3580 , 1.78948e-06 , 232.788 , 647.66 , 429.765 , 4.43856 , 0.142906
3600 , 1.79948e-06 , 232.777 , 647.669 , 429.811 , 4.43546 , 0.142697
3620 , 1.80948e-06 , 232.766 , 647.673 , 429.857 , 4.43355 , 0.142534
3640 , 1.81948e-06 , 232.755 , 647.673 , 429.903 , 4.43304 , 0.142428
3660 , 1.82948e-06 , 232.743 , 647.671 , 429.948 , 4.43396 , 0.142378
3680 , 1.83948e-06 , 232.732 , 647.665 , 429.992 , 4.43625 , 0.142382
3700 , 1.84948e-06 , 232.719 , 647.656 , 430.035 , 4.43972 , 0.142433
3720 , 1.85948e-06 , 232.707 , 647.643 , 430.078 , 4.44462 , 0.142541
3740 , 1.86948e-06 , 232.694 , 647.626 , 430.12 , 4.4509 , 0.142704
3760 , 1.87948e-06 , 232.681 , 647.608 , 430.161 , 4.45853 , 0.14292
3780 , 1.88948e-06 , 232.668 , 647.586 , 430.202 , 4.4675 , 0.14319
3800 , 1.89948e-06 , 232.654 , 647.561 , 430.242 , 4.47784 , 0.143514
3820 , 1.90948e-06 , 232.641 , 647.533 , 430.281 , 4.48955 , 0.143892
3840 , 1.91948e-06 , 232.627 , 647.505 , 430.319 , 4.50252 , 0.144321
3860 , 1.92948e-06 , 232.613 , 647.473 , 430.357 , 4.51676 , 0.1448
3880 , 1.93948e-06 , 232.599 , 647.44 , 430.394 , 4.53216 , 0.145325
3900 , 1.94948e-06 , 232.585 , 647.405 , 430.431 , 4.54874 , 0.145897
3920 , 1.95948e-06 , 232.571 , 647.369 , 430.466 , 4.56641 , 0.146513
3940 , 1.96948e-06 , 232.557 , 647.333 , 430.501 , 4.58507 , 0.147168
3960 , 1.97948e-06 , 232.544 , 647.297 , 430.536 , 4.6046 , 0.147858
3980 , 1.98948e-06 , 232.531 , 647.261 , 430.571 , 4.62486 , 0.148577
4000 , 1.99948e-06 , 232.518 , 647.226 , 430.605 , 4.64589 , 0.149327
4020 , 2.00948e-06 , 232.505 , 647.192 , 430.638 , 4.66765 , 0.150107
4040 , 2.01948e-06 , 232.492 , 647.159 , 430.671 , 4.69011 , 0.150915
4060 , 2.02948e-06 , 232.48 , 647.128 , 430.704 , 4.7131 , 0.151744
4080 , 2.03948e-06 , 232.468 , 647.099 , 430.736 , 4.73654 , 0.152591
4100 , 2.04948e-06 , 232.457 , 647.073 , 430.769 , 4.76028 , 0.153451
4120 , 2.05948e-06 , 232.447 , 647.049 , 430.801 , 4.78421 , 0.154319
4140 , 2.06948e-06 , 232.436 , 647.029 , 430.833 , 4.8083 , 0.155194
4160 , 2.07948e-06 , 232.427 , 647.012 , 430.864 , 4.83245 , 0.156071
4180 , 2.08948e-06 , 232.417 , 646.998 , 430.896 , 4.85664 , 0.156951
4200 , 2.09948e-06 , 232.408 , 646.988 , 430.929 , 4.88074 , 0.157828
4220 , 2.10948e-06 , 232.4 , 646.981 , 430.961 , 4.90469 , 0.1587
4240 , 2.11948e-06 , 232.393 , 646.98 , 430.994 , 4.92846 , 0.159564
4260 , 2.12948e-06 , 232.386 , 646.983 , 431.026 , 4.95201 , 0.160422
4280 , 2.13948e-06 , 232.38 , 646.991 , 431.058 , 4.97527 , 0.161268
4300 , 2.14948e-06 , 232.375 , 647.004 , 431.091 , 4.9982 , 0.162102
4320 , 2.15948e-06 , 232.37 , 647.02 , 431.124 , 5.02078 , 0.162922
4340 , 2.16948e-06 , 232.366 , 647.042 , 431.158 , 5.04292 , 0.163726
4360 , 2.17948e-06 , 232.362 , 647.069 , 431.191 , 5.0646 , 0.164513
4380 , 2.18948e-06 , 232.36 , 647.102 , 431.224 , 5.08591 , 0.165285
4400 , 2.19948e-06 , 232.357 , 647.139 , 431.258 , 5.10684 , 0.166043
4420 , 2.20948e-06 , 232.356 , 647.18 , 431.292 , 5.1272 , 0.166779
4440 , 2.21948e-06 , 232.355 , 647.226 , 431.327 , 5.14688 , 0.167489
4460 , 2.22948e-06 , 232.354 , 647.278 , 431.361 , 5.16614 , 0.168183
4480 , 2.23948e-06 , 232.354 , 647.334 , 431.396 , 5.18487 , 0.168857
4500 , 2.24948e-06 , 232.355 , 647.396 , 431.431 , 5.20295 , 0.169505
4520 , 2.25948e-06 , 232.356 , 647.462 , 431.467 , 5.22031 , 0.170127
4540 , 2.26948e-06 , 232.357 , 647.533 , 431.503 , 5.237 , 0.170721
4560 , 2.27948e-06 , 232.36 , 647.611 , 431.539 , 5.25304 , 0.171292
4580 , 2.28948e-06 , 232.363 , 647.692 , 431.576 , 5.26839 , 0.171835
4600 , 2.29948e-06 , 232.366 , 647.779 , 431.613 , 5.28309 , 0.172353
