Step , TotalTime , T , P , Ux , Uy , Uz
2960 , 1.47949e-06 , 226.741 , 1432.51 , 526.036 , 37.8653 , 1.10096
2980 , 1.48949e-06 , 226.739 , 1434.12 , 526.502 , 37.8516 , 1.09355
3000 , 1.49949e-06 , 226.731 , 1435.88 , 526.991 , 37.8181 , 1.08567
3020 , 1.50949e-06 , 226.712 , 1437.7 , 527.489 , 37.7702 , 1.0767
3040 , 1.51949e-06 , 226.674 , 1439.43 , 527.97 , 37.7213 , 1.06643
3060 , 1.52949e-06 , 226.616 , 1440.92 , 528.415 , 37.6823 , 1.05473
3080 , 1.53949e-06 , 226.541 , 1442.14 , 528.819 , 37.6544 , 1.04137
3100 , 1.54949e-06 , 226.454 , 1443.17 , 529.188 , 37.6305 , 1.02615
3120 , 1.55948e-06 , 226.356 , 1444.04 , 529.523 , 37.6046 , 1.00928
3140 , 1.56948e-06 , 226.246 , 1444.75 , 529.82 , 37.5786 , 0.991595
3160 , 1.57948e-06 , 226.122 , 1445.23 , 530.066 , 37.5598 , 0.974334
3180 , 1.58948e-06 , 225.985 , 1445.44 , 530.256 , 37.5524 , 0.958692
3200 , 1.59948e-06 , 225.84 , 1445.46 , 530.394 , 37.5512 , 0.945397
3220 , 1.60948e-06 , 225.695 , 1445.38 , 530.493 , 37.5445 , 0.934687
3240 , 1.61948e-06 , 225.552 , 1445.32 , 530.562 , 37.5225 , 0.926552
3260 , 1.62948e-06 , 225.41 , 1445.29 , 530.6 , 37.4846 , 0.92102
3280 , 1.63948e-06 , 225.268 , 1445.23 , 530.6 , 37.4389 , 0.918216
3300 , 1.64948e-06 , 225.128 , 1445.11 , 530.559 , 37.3931 , 0.918178
3320 , 1.65948e-06 , 224.994 , 1444.96 , 530.488 , 37.3477 , 0.920759
3340 , 1.66948e-06 , 224.878 , 1444.92 , 530.411 , 37.295 , 0.925791
3360 , 1.67948e-06 , 224.784 , 1445.16 , 530.355 , 37.2257 , 0.933485
3380 , 1.68948e-06 , 224.712 , 1445.75 , 530.34 , 37.1371 , 0.944769
