x,M_axis_run1,M_axis_run2,Mfit_run1,Mfit_run2
2.744890749454498291e-02,2.620936632156372070e+00,2.626124143600463867e+00,2.621955156326293945e+00,2.623329162597656250e+00
2.828105352818965912e-02,2.666013002395629883e+00,2.671121835708618164e+00,2.667113065719604492e+00,2.668586254119873047e+00
2.912273257970809937e-02,2.710829973220825195e+00,2.715856313705444336e+00,2.712015867233276367e+00,2.713597536087036133e+00
2.997258864343166351e-02,2.755283117294311523e+00,2.760226726531982422e+00,2.756554841995239258e+00,2.758247137069702148e+00
3.082936257123947144e-02,2.799265623092651367e+00,2.804141998291015625e+00,2.800625324249267578e+00,2.802430391311645508e+00
3.169190883636474609e-02,2.842692613601684570e+00,2.847468376159667969e+00,2.844140052795410156e+00,2.846061944961547852e+00
3.255921229720115662e-02,2.885488033294677734e+00,2.890160322189331055e+00,2.887024402618408203e+00,2.889060735702514648e+00
3.343039378523826599e-02,2.927584171295166016e+00,2.932134628295898438e+00,2.929210186004638672e+00,2.931359052658081055e+00
3.430468961596488953e-02,2.968930721282958984e+00,2.973358154296875000e+00,2.970644474029541016e+00,2.972900152206420898e+00
3.518147021532058716e-02,3.009474277496337891e+00,3.013755798339843750e+00,3.011276483535766602e+00,3.013645887374877930e+00
3.606021776795387268e-02,3.049182415008544922e+00,3.053311586380004883e+00,3.051070690155029297e+00,3.053550958633422852e+00
3.694049268960952759e-02,3.088022470474243164e+00,3.092007398605346680e+00,3.089996337890625000e+00,3.092586994171142578e+00
3.782195225358009338e-02,3.125971794128417969e+00,3.129829883575439453e+00,3.128028392791748047e+00,3.130731821060180664e+00
3.870432078838348389e-02,3.163010120391845703e+00,3.166717052459716797e+00,3.165148496627807617e+00,3.167968750000000000e+00
3.958737850189208984e-02,3.199122667312622070e+00,3.202684402465820312e+00,3.201339483261108398e+00,3.204278707504272461e+00
4.047095775604248047e-02,3.234297990798950195e+00,3.237729787826538086e+00,3.236590147018432617e+00,3.239654302597045898e+00
4.135492444038391113e-02,3.268531084060668945e+00,3.271851062774658203e+00,3.270898342132568359e+00,3.274085283279418945e+00
4.223918169736862183e-02,3.301820755004882812e+00,3.304999351501464844e+00,3.304256677627563477e+00,3.307570219039916992e+00
4.312365129590034485e-02,3.334156990051269531e+00,3.337210178375244141e+00,3.336659431457519531e+00,3.340102195739746094e+00
4.400827363133430481e-02,3.365547418594360352e+00,3.368480205535888672e+00,3.368113756179809570e+00,3.371680974960327148e+00
4.489301145076751709e-02,3.395989179611206055e+00,3.398801088333129883e+00,3.398615837097167969e+00,3.402311325073242188e+00
4.577783122658729553e-02,3.425489664077758789e+00,3.428183555603027344e+00,3.428170919418334961e+00,3.431995153427124023e+00
4.666270688176155090e-02,3.454057931900024414e+00,3.456652402877807617e+00,3.456791162490844727e+00,3.460734605789184570e+00
4.754762724041938782e-02,3.481691360473632812e+00,3.484205484390258789e+00,3.484470367431640625e+00,3.488539457321166992e+00
4.843257367610931396e-02,3.508405208587646484e+00,3.510826587677001953e+00,3.511228561401367188e+00,3.515414476394653320e+00
4.931754246354103088e-02,3.534202337265014648e+00,3.536535263061523438e+00,3.537066221237182617e+00,3.541368007659912109e+00
5.020252242684364319e-02,3.559102773666381836e+00,3.561365127563476562e+00,3.561998367309570312e+00,3.566414117813110352e+00
5.108751356601715088e-02,3.583108663558959961e+00,3.585322856903076172e+00,3.586033105850219727e+00,3.590550661087036133e+00
5.197251215577125549e-02,3.606232404708862305e+00,3.608409166336059570e+00,3.609185218811035156e+00,3.613799571990966797e+00
5.285751074552536011e-02,3.628486394882202148e+00,3.630647659301757812e+00,3.631462812423706055e+00,3.636174201965332031e+00
5.374251678586006165e-02,3.649884462356567383e+00,3.652063369750976562e+00,3.652879714965820312e+00,3.657681703567504883e+00
5.462752282619476318e-02,3.670445203781127930e+00,3.672612190246582031e+00,3.673452854156494141e+00,3.678337812423706055e+00
5.551253259181976318e-02,3.690177202224731445e+00,3.692347526550292969e+00,3.693195104598999023e+00,3.698161125183105469e+00
5.639754235744476318e-02,3.709098100662231445e+00,3.711265087127685547e+00,3.712120294570922852e+00,3.717159271240234375e+00
5.728255212306976318e-02,3.727213382720947266e+00,3.729400873184204102e+00,3.730240106582641602e+00,3.735351324081420898e+00
5.816755816340446472e-02,3.744556903839111328e+00,3.746764183044433594e+00,3.747580051422119141e+00,3.752754211425781250e+00
5.905257165431976318e-02,3.761130332946777344e+00,3.763383150100708008e+00,3.764147758483886719e+00,3.769383192062377930e+00
5.993758514523506165e-02,3.776952743530273438e+00,3.779257535934448242e+00,3.779961347579956055e+00,3.785256862640380859e+00
6.082259491086006165e-02,3.792045354843139648e+00,3.794419527053833008e+00,3.795042037963867188e+00,3.800385236740112305e+00
6.170760467648506165e-02,3.806428670883178711e+00,3.808858156204223633e+00,3.809400320053100586e+00,3.814792156219482422e+00
6.259261816740036011e-02,3.820108652114868164e+00,3.822624921798706055e+00,3.823057174682617188e+00,3.828494548797607422e+00
6.347762793302536011e-02,3.833110332489013672e+00,3.835707187652587891e+00,3.836033105850219727e+00,3.841508626937866211e+00
6.436263769865036011e-02,3.845455169677734375e+00,3.848133802413940430e+00,3.848341464996337891e+00,3.853847265243530273e+00
6.524764746427536011e-02,3.857156991958618164e+00,3.859930753707885742e+00,3.860013723373413086e+00,3.865540981292724609e+00
6.613265722990036011e-02,3.868237972259521484e+00,3.871114969253540039e+00,3.871085882186889648e+00,3.876602172851562500e+00
6.701766699552536011e-02,3.878717899322509766e+00,3.881683111190795898e+00,3.881557703018188477e+00,3.887055873870849609e+00
6.790269166231155396e-02,3.888618230819702148e+00,3.891706466674804688e+00,3.891437053680419922e+00,3.896927595138549805e+00
6.878769397735595703e-02,3.897960186004638672e+00,3.901160478591918945e+00,3.900778770446777344e+00,3.906231164932250977e+00
6.967270374298095703e-02,3.906761407852172852e+00,3.910091161727905273e+00,3.909573316574096680e+00,3.914977312088012695e+00
7.055771350860595703e-02,3.915041685104370117e+00,3.918510437011718750e+00,3.917822122573852539e+00,3.923187494277954102e+00
7.144272327423095703e-02,3.922821044921875000e+00,3.926442861557006836e+00,3.925551414489746094e+00,3.930894613265991211e+00
7.232773303985595703e-02,3.930109739303588867e+00,3.933887720108032227e+00,3.932787179946899414e+00,3.938073635101318359e+00
7.321274280548095703e-02,3.936921834945678711e+00,3.940908908843994141e+00,3.939517736434936523e+00,3.944771289825439453e+00
7.409776002168655396e-02,3.943278074264526367e+00,3.947450160980224609e+00,3.945759773254394531e+00,3.951015710830688477e+00
7.498276978731155396e-02,3.949183225631713867e+00,3.953561305999755859e+00,3.951586008071899414e+00,3.956811904907226562e+00
7.586777955293655396e-02,3.954664945602416992e+00,3.959244966506958008e+00,3.957002639770507812e+00,3.962169885635375977e+00
7.675278931856155396e-02,3.959731817245483398e+00,3.964545249938964844e+00,3.962006092071533203e+00,3.967114210128784180e+00
7.763779908418655396e-02,3.964407444000244141e+00,3.969359874725341797e+00,3.966619491577148438e+00,3.971659421920776367e+00
7.852280884981155396e-02,3.968717575073242188e+00,3.973798274993896484e+00,3.970901250839233398e+00,3.975822925567626953e+00
7.940781861543655396e-02,3.972667932510375977e+00,3.977909564971923828e+00,3.974829435348510742e+00,3.979621410369873047e+00
8.029282838106155396e-02,3.976276874542236328e+00,3.981693267822265625e+00,3.978404998779296875e+00,3.983093976974487305e+00
8.117784559726715088e-02,3.979576587677001953e+00,3.985145092010498047e+00,3.981637001037597656e+00,3.986190319061279297e+00
8.206285536289215088e-02,3.982569694519042969e+00,3.988254785537719727e+00,3.984562158584594727e+00,3.989034175872802734e+00
8.294786512851715088e-02,3.985283374786376953e+00,3.991086006164550781e+00,3.987210750579833984e+00,3.991545915603637695e+00
8.383287489414215088e-02,3.987733840942382812e+00,3.993556499481201172e+00,3.989598989486694336e+00,3.993972778320312500e+00
8.471788465976715088e-02,3.989934682846069336e+00,3.995903968811035156e+00,3.991746902465820312e+00,3.995976686477661133e+00
8.560289442539215088e-02,3.991897821426391602e+00,3.997914552688598633e+00,3.993661880493164062e+00,3.997736930847167969e+00
8.648791164159774780e-02,3.993662834167480469e+00,3.999690771102905273e+00,3.995373964309692383e+00,3.999239683151245117e+00
8.737292140722274780e-02,3.995196819305419922e+00,4.001296520233154297e+00,3.996866941452026367e+00,4.000590324401855469e+00
8.825793117284774780e-02,3.996542930603027344e+00,4.002733707427978516e+00,3.998173713684082031e+00,4.001774787902832031e+00
8.914294093847274780e-02,3.997717142105102539e+00,4.004016399383544922e+00,3.999309539794921875e+00,4.002792835235595703e+00
9.002795070409774780e-02,3.998732566833496094e+00,4.005170345306396484e+00,4.000279903411865234e+00,4.003645896911621094e+00
9.091296046972274780e-02,3.999636888504028320e+00,4.006175994873046875e+00,4.001125335693359375e+00,4.004353523254394531e+00
9.179797768592834473e-02,4.000412464141845703e+00,4.007103919982910156e+00,4.001835823059082031e+00,4.004924297332763672e+00
9.268298745155334473e-02,4.001071929931640625e+00,4.007889270782470703e+00,4.002429485321044922e+00,4.005366325378417969e+00
9.356799721717834473e-02,4.001619338989257812e+00,4.008575439453125000e+00,4.002913475036621094e+00,4.005693912506103516e+00
