x_mm,y_mm,zone
59.45105708,30.97644809,divergent
59.94491358,31.08763274,divergent
60.43910365,31.19788295,divergent
60.93362728,31.30719871,divergent
61.42848446,31.41558002,divergent
61.92367521,31.52302687,divergent
62.41919952,31.62953928,divergent
62.91505738,31.73511724,divergent
63.41124881,31.83976076,divergent
63.90777379,31.94346982,divergent
64.40463234,32.04624443,divergent
64.90182445,32.14808459,divergent
65.39935011,32.24899031,divergent
65.89720934,32.34896157,divergent
66.39540213,32.44799839,divergent
66.89392847,32.54610075,divergent
67.39278838,32.64326867,divergent
67.89198184,32.73950213,divergent
67.89198184,32.73950213,test
97.89198184,32.73950213,test
