# forge res_12000.h5 axis (j=0) values; Pt/P for matching with CEA
x_m,x_over_rt,Pt_over_P,P,T,rho,u,a,M,h0
-0.19648075,-0.9331343,1.15134846435924,987537.6875,1022.658447265625,3.377476692199707,289.55572509765625,620.9678955078125,0.4662974160054838,836210.3783048114
-0.18780448,-0.89192855,1.1615190871706285,978890.5,1020.4857177734375,3.3550305366516113,298.2980651855469,620.3453369140625,0.48085807603462427,836210.6452837113
-0.17929062,-0.85149425,1.1721846610951383,969983.6875,1018.2316284179688,3.3318631649017334,307.1011657714844,619.6986694335938,0.49556531411012333,836210.7924627725
-0.17092808,-0.8117785,1.1833650564762144,960819.3125,1015.8951416015625,3.3079745769500732,315.9641418457031,619.0277099609375,0.5104200292837318,836211.1386147299
-0.16270672,-0.7727333,1.1950799912655103,951400.75,1013.4752197265625,3.2833685874938965,324.8852844238281,618.33203125,0.5254220515910368,836211.554334091
-0.15461673,-0.734312,1.2073509835410823,941731.125,1010.9708251953125,3.2580487728118896,333.86346435546875,617.6111450195312,0.540572279253333,836211.9676461027
-0.14664888,-0.6964708,1.2202015800912898,931813.25,1008.3806762695312,3.2320170402526855,342.897705078125,616.86474609375,0.5558717810500586,836212.407403861
-0.13879454,-0.6591686,1.233655856942576,921650.875,1005.7036743164062,3.205277681350708,351.9869079589844,616.0923461914062,0.5713216697706383,836212.8468914807
-0.13104579,-0.6223679,1.2477389361420628,911248.3125,1002.9389038085938,3.1778364181518555,361.1299743652344,615.2935180664062,0.5869230924130409,836213.4131011826
-0.12339469,-0.586031,1.2624788806131628,900609.125,1000.0848388671875,3.1496970653533936,370.3264465332031,614.4678344726562,0.6026783270942437,836213.7120969401
-0.115834035,-0.5501237,1.2779027558992893,889739.0625,997.1409301757812,3.120867967605591,379.5751647949219,613.6148681640625,0.6185886041689503,836214.2245646614
-0.10835685,-0.51461273,1.2940435938760269,878641.1875,994.1056518554688,3.09135103225708,388.87579345703125,612.7340087890625,0.6346567807221293,836214.9463215751
-0.10095673,-0.47946778,1.3109302048566245,867323.0625,990.9780883789062,3.0611608028411865,398.22625732421875,611.824951171875,0.6508826692364632,836215.4023807426
-0.09362722,-0.44465816,1.3285981332436696,855789.25,987.75732421875,3.030301809310913,407.6266174316406,610.8872680664062,0.66726978730768,836216.0881843731
-0.086362354,-0.41015556,1.3470840761289105,844045.3125,984.44189453125,2.9987823963165283,417.0760498046875,609.9202880859375,0.6838205876272174,836216.7893809769
-0.079156406,-0.37593278,1.3664255892935688,832098.0,981.0310668945312,2.96661376953125,426.5735168457031,608.9237670898438,0.7005368157731381,836217.5506223639
-0.07200384,-0.34196353,1.386663154274508,819954.0,977.5237426757812,2.9338066577911377,436.1183166503906,607.8971557617188,0.717421215935642,836218.3201421634
-0.06489933,-0.30822253,1.407840974641992,807619.625,973.9185791015625,2.9003708362579346,445.7099304199219,606.8399047851562,0.7344769632078162,836219.1033230724
-0.057837714,-0.2746852,1.4300040828062919,795102.625,970.2147827148438,2.866319417953491,455.347412109375,605.7516479492188,0.7517064355515342,836220.0004601481
-0.05081399,-0.24132785,1.4531996153238749,782411.4375,966.4114379882812,2.8316688537597656,465.02972412109375,604.6318359375,0.7691122042888315,836220.9918564472
-0.04382341,-0.2081279,1.4774766433699331,769555.3125,962.5079345703125,2.7964353561401367,474.755615234375,603.4802856445312,0.7866961465482253,836222.4187895064
-0.036861125,-0.17506234,1.5028936402864717,756540.5625,958.5029907226562,2.7606289386749268,484.52490234375,602.2962036132812,0.8044628198500996,836224.1861479791
-0.029922506,-0.14210917,1.5295110634381361,743374.8125,954.3949584960938,2.7242624759674072,494.33709716796875,601.0790405273438,0.8224161280590865,836225.7978431499
-0.023003066,-0.10924709,1.557391174595005,730067.0625,950.1837158203125,2.687351703643799,504.1915588378906,599.8284912109375,0.8405595369770208,836227.8872739113
-0.016098283,-0.07645462,1.586602765321636,716625.5,945.8662109375,2.649914264678955,514.0872192382812,598.54345703125,0.8588970662015619,836228.4223819849
-0.009203721,-0.043710683,1.6172201947704903,703058.25,941.4403686523438,2.6119673252105713,524.0236206054688,597.2230834960938,0.8774336342424651,836226.2915459382
-0.0023150197,-0.010994585,1.6493207839169464,689374.6875,936.9066162109375,2.5735247135162354,534.0010375976562,595.8671264648438,0.8961746904310258,836223.1480418319
0.0045722215,0.02171458,1.6829875693716616,675584.3125,932.266845703125,2.534595251083374,544.0191650390625,594.47607421875,0.9151237343807367,836223.1352694508
0.011462361,0.054437503,1.7183130306916097,661695.5,927.517333984375,2.4952003955841064,554.0784912109375,593.0484008789062,0.9342888209289245,836223.5669298042
0.018359788,0.087195046,1.755396769170632,647716.8125,922.65625,2.4553563594818115,564.1792602539062,591.5833129882812,0.953676765161025,836224.0595223912
0.025268873,0.12000795,1.794345444639038,633657.25,917.681884765625,2.4150800704956055,574.3219604492188,590.080078125,0.9732949505330646,836224.65551859
0.032194115,0.15289758,1.8352768416047736,619525.0625,912.5924682617188,2.3743858337402344,584.5073852539062,588.5376586914062,0.9931520551353312,836225.2710935026
0.039139982,0.18588518,1.8783106231413196,605331.1875,907.3867797851562,2.333296298980713,594.7350463867188,586.9555053710938,1.0132540557920255,836226.0135381666
0.04611102,0.21899232,1.9235608715236439,591091.25,902.0652465820312,2.2918481826782227,605.000732421875,585.3333740234375,1.0336002682766043,836226.8013583686
0.053111948,0.2522414,1.9711773819097667,576812.625,896.6256103515625,2.250053644180298,615.3060913085938,583.670166015625,1.0542017172282914,836227.4516728056
0.060147546,0.28565514,2.0213169382070566,562504.5625,891.06591796875,2.2079310417175293,625.65185546875,581.9649047851562,1.075068015827727,836227.741090933
0.06722266,0.31925657,2.0741447459332307,548177.75,885.3851318359375,2.165501356124878,636.0379028320312,580.2168579101562,1.0962072097024775,836228.4072823151
0.07434234,0.35306963,2.1298391732589983,533843.125,879.58154296875,2.122788906097412,646.4641723632812,578.4251708984375,1.1176280094435764,836228.9909755827
0.0815118,0.38711914,2.1885892117180954,519512.75,873.654296875,2.079820394515991,656.9290771484375,576.5889892578125,1.1393368402578048,836229.6593426485
0.088736445,0.4214307,2.250589508593455,505200.96875,867.6036987304688,2.0366294384002686,667.4300537109375,574.7080078125,1.1613376612784005,836230.4706190166
0.09602185,0.45603085,2.3160418040962445,490923.78125,861.4301147460938,1.99325692653656,677.9635620117188,572.7817993164062,1.1836332139408812,836231.2750851626
0.10337384,0.49094722,2.385161651341601,476697.25,855.1348876953125,1.9497425556182861,688.5250244140625,570.8103637695312,1.2062237620690073,836232.1324432339
0.11079845,0.52620846,2.4581674410371543,462539.6875,848.719970703125,1.9061359167099,699.1091918945312,568.7937622070312,1.2291084015792484,836232.8984657556
0.11830231,0.5618461,2.535306427570398,448466.5,842.1868286132812,1.8624768257141113,709.7120361328125,566.7318115234375,1.252289039898834,836233.9619462572
0.12589177,0.59789026,2.616844584863614,434492.75,835.5364379882812,1.8188061714172363,720.329833984375,564.6243896484375,1.2757681871179658,836235.0666618078
0.13357414,0.6343757,2.703080794434138,420631.15625,828.769287109375,1.7751582860946655,730.9603271484375,562.4710083007812,1.299552005989892,836235.9390022515
0.1413566,0.6713365,2.794338055460514,406894.21875,821.8858642578125,1.7315669059753418,741.6015014648438,560.271240234375,1.3236472769057608,836236.9445576712
0.14924711,0.7088104,2.890979237375505,393292.34375,814.8859252929688,1.6880601644515991,752.2523803710938,558.0243530273438,1.3480637113596234,836237.8743820388
0.15725401,0.7468371,2.9934077401606243,379834.65625,807.7686157226562,1.6446629762649536,762.913330078125,555.7293701171875,1.3728144868737966,836238.8988492896
0.16538613,0.78545845,3.1020798616750667,366528.28125,800.53173828125,1.6013941764831543,773.5855712890625,553.3849487304688,1.3979158144141077,836239.9860170136
0.1736527,0.82471836,3.217508965012508,353378.96875,793.1729125976562,1.5582678318023682,784.2718505859375,550.9895629882812,1.4233878520900727,836241.2126179782
0.18206348,0.8646632,3.340289515627724,340389.65625,785.6873168945312,1.5152904987335205,794.9769287109375,548.540771484375,1.4492576851848142,836242.5190477233
0.19062945,0.9053451,3.4711181390822774,327560.15625,778.068359375,1.4724568128585815,805.708251953125,546.03564453125,1.4755598101013967,836243.9023658213
0.1993616,0.94681615,3.61079403528265,314889.1875,770.3082275390625,1.429757833480835,816.474853515625,543.4706420898438,1.502334791031177,836245.2434264119
0.20827194,0.9891335,3.760243159083792,302374.0625,762.3970947265625,1.3871791362762451,827.2872314453125,540.8413696289062,1.52963008730813,836246.6729524044
0.21737339,1.0323584,3.9205367204425863,290011.3125,754.3241577148438,1.3447023630142212,838.1571655273438,538.1432495117188,1.55749824287091,836248.0656904352
0.22667958,1.0765557,4.092889145069432,277798.875,746.0778198242188,1.3023135662078857,849.09619140625,535.3709716796875,1.5859959473377356,836249.6872939398
