Pinf/P,M_cea,T_cea,rho_cea,u_cea,a_cea,T_forge,rho_forge,u_forge,a_forge,M_forge,x_forge,dT,drho,du,da,dM
7.0,1.93,722.54,0.7894100000000001,1014.8,525.8,722.5688251237254,0.7895055523461941,1014.8571490428213,525.8197892701737,1.9300835976100368,0.3317359830405435,0.003989415634486626,0.012104273595991977,0.005631557235052931,0.0037636497097315313,0.004331482385328766
8.0,2.012,698.33,0.71468,1041.2,517.5,698.3630770070083,0.7147995803854424,1041.1784393716555,517.4630903079469,2.0121314382654587,0.35802194633556983,0.004736586858400393,0.01673201788807699,-0.0020707480161918923,-0.00713230764310957,0.006532716971108066
10.0,2.148,659.37,0.60553,1081.9,503.7,659.4172795503121,0.605701575295014,1081.8690316838392,503.6715660577758,2.148049755219955,0.4019163606093527,0.007170412713963792,0.02833473073406978,-0.0028624009761446523,-0.005645015331379177,0.002316351022102481
12.0,2.258,628.9,0.52905,1112.4,492.5,628.958379001566,0.5292649953265917,1112.392237910264,492.56129453307113,2.2584996914071356,0.4380056919573289,0.009282716102076982,0.040637997654591196,-0.0006977786530137919,0.012445590471288348,0.02212982316809441
15.0,2.393,593.23,0.44869000000000003,1146.8,479.1,593.2901663776197,0.4488517719200005,1146.8262059901506,479.1538199540112,2.3935516454240826,0.48279044723601716,0.010142167054882911,0.03605427355199975,0.0022851404037904643,0.011233553331502222,0.023052462351977183
20.0,2.568,549.8,0.3631,1187.0,462.2,549.8723979619209,0.3632721631835451,1186.9879259667848,462.18223613124593,2.568374199365427,0.5421494333390529,0.013168054187140399,0.04741481232308775,-0.0010171889818999524,-0.003843329457819955,0.014571626379562013
25.0,2.705,518.03,0.3083,1215.3,449.2,518.0849749135923,0.3083154985841075,1215.3004196735299,449.2600614603783,2.7051577783354794,0.5899231926825217,0.010612303069779117,0.005027111290134556,3.453250472240654e-05,0.013370761437747625,0.005832840498312895
30.0,2.818,493.28,0.26981000000000005,1236.7,438.8,493.3433933002226,0.26984629422192946,1236.7292603266667,438.86837124392656,2.818070176611316,0.6304448428057575,0.01285138262703267,0.01345177047900048,0.0023660003773517957,0.0155814138392385,0.0024902984853019394
40.0,2.999,456.35,0.21873,1267.8,422.8,456.4354729168624,0.21880224969615714,1267.8026507146978,422.7790270429635,2.9988775623681243,0.6979072671024505,0.01872968486082982,0.033031452547493956,0.00020907987836604747,-0.004960491257455235,-0.004082615267616029
50.0,3.142,429.44,0.18595,1289.9,410.5,429.5197459127284,0.1859848724341763,1289.8440966958217,410.56295057801003,3.1417550227655284,0.7542212301750135,0.018569744953533807,0.018753661831838464,-0.004333925434407693,0.015335098175395245,-0.007796856603166052
60.0,3.261,408.54,0.16288000000000002,1306.7,400.7,408.6090797184791,0.16290772740507226,1306.6283576153342,400.7606059614687,3.2604600255360547,0.8036603641854636,0.016908924090430766,0.017023210383237952,-0.0054826956964793006,0.015125021579409648,-0.01655855455214292
80.0,3.452,377.46,0.13222,1331.1,385.6,377.5023942709162,0.1322121089587278,1331.087907425878,385.6301420979454,3.451731238303317,0.889791938757116,0.01123146052992574,-0.0059681147120072,-0.000908464737581216,0.007816934114468488,-0.007785680668678252
100.0,3.604,354.88,0.11251,1348.5,374.2,354.91755383212,0.112518018169991,1348.4951155950478,374.1891600752788,3.6038381607892944,0.9661498784757716,0.010582121314239856,0.007126628736120466,-0.0003622102300537833,-0.002896826488829607,-0.004490544137227305
130.0,3.787,329.97,0.09307900000000001,1367.4,361.1,329.99418801836856,0.09307393456760352,1367.4084465614853,361.0831590203522,3.786970767708818,1.0728231159005701,0.007330368933100573,-0.0054420786605891,0.0006177096303350282,-0.004663799404003299,-0.000771911570686614
160.0,3.935,311.43,0.080127,1381.2,351.0,311.4211328460863,0.08013609395859281,1381.2380544153705,350.9538059687059,3.935691448694467,1.1814578652095005,-0.0028472381959576687,0.01134943101925856,0.0027551705307216068,-0.013160692676372765,0.017571758436267695
190.0,4.061,296.85,0.070789,1391.9,342.8,296.79129601092745,0.07080713601638539,1392.0000286032675,342.7409615598577,4.0613880064763315,1.3095881381138823,-0.019775640583652443,0.02561982283317832,0.007186479148457714,-0.01722241544408476,0.009554456447464322
224.83,4.186,283.21,0.06270400000000001,1401.9,334.9,283.1343847122607,0.0627220258291664,1401.9701727583713,334.8743676384103,4.186555686214253,1.6613146735663336,-0.02669937069286199,0.028747494843051058,0.005005546641778658,-0.007653735918078386,0.013274873727970316
226.1,4.19,282.77,0.062451,1402.2,334.7,282.6879421317089,0.06246819630202593,1402.2908483056165,334.61378745078434,4.190774262474448,1.8822780809298005,-0.029019297765353613,0.02753567120772349,0.006478983427204987,-0.025758156323762993,0.01847881800590311
226.11,4.19,282.76,0.062449000000000005,1402.2,334.7,282.684830326015,0.06246614637904847,1402.2927358119346,334.61195779158106,4.190802818512824,1.9034030098668433,-0.026584267217777402,0.02745661107217412,0.006613593776538806,-0.026304812793220833,0.019160346368112955
